"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL526744";"NISIN";"E234|Nisin";"Small molecule";"0";"3353.11";"8";"76";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"3350.5248";"None";"C142H227N43O37S7";"C=C(NC(=O)[C@@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H]1CS[C@@H](C)[C@H]2NC(=O)C(=C)NC(=O)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]3CS[C@@H](C)[C@@H](NC(=O)[C@H](CCCNN)NC(=O)[C@@H]4CS[C@@H](C)[C@@H](NC(=O)[C@@H]5CSC[C@@H](NC(=O)/C(=C\C)NC(=O)[C@@H](N)[C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NC(=C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N5)C(=O)N5CCC[C@H]5C(=O)NCC(=O)N4)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N3)[C@H](C)SC[C@H](NC2=O)C(=O)N[C@H](Cc2cnc[nH]2)C(=O)N1)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)O"
"CHEMBL4277259";"";"";"Small molecule";"0";"1187.50";"3";"4";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1186.5991";"None";"C54H86N14O12S2";"C#CCNC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CS[C@@H](C)[C@H](NC(=O)[C@@H]2CSC[C@H](NC(=O)/C(=C/C)NC(=O)[C@@H](N)[C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NC(=C)C(=O)N[C@@H](CC(C)C)C(=O)N2)C(=O)N2CCC[C@H]2C(=O)NCC(=O)N1"
"CHEMBL2368591";"";"";"Unknown";"0";"3288.08";"5";"22";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"3285.5234";"None";"C140H228N40O37S7";"C=C(NC(=O)[C@H](NC(=O)[C@@H](Cc1cnc[nH]1)NC(=O)[C@H](NC(=O)[C@@H](CO)NC(=O)[C@H]1CS[C@H](C)[C@@H]2NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CCSC)NC(=O)[C@@H](CC(N)=O)[C@H]3CS[C@H](C)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)[C@H]4CS[C@H](C)[C@H](NC(=O)[C@H]5CSC[C@H](NC(=O)/C(=C/C)NC(=O)[C@H](N)[C@H](C)CC)C(=O)N[C@H]([C@H](C)CC)C(=O)NC(=C)C(=O)N[C@H](CC(C)C)C(=O)N5)C(=O)N5CCC[C@@H]5C(=O)NCC(=O)N4)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCSC)C(=O)NCC(=O)N3)[C@@H](C)SC[C@@H](NC2=O)C(=O)N[C@H](CC(N)=O)C(=O)N1)[C@H](C)CC)C(C)C)C(=O)N[C@H](CCCCN)C(=O)O"
"CHEMBL3335181";"";"";"Small molecule";"0";"1149.45";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1148.5835";"None";"C51H84N14O12S2";"C=C1NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](NC(=O)/C(=C/C)NC(=O)[C@@H](N)[C@@H](C)CC)CSC[C@@H](C(=O)N[C@@H]2C(=O)N3CCC[C@H]3C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(N)=O)CS[C@H]2C)NC(=O)[C@H](CC(C)C)NC1=O"
"CHEMBL4445301";"";"";"";"0";"3354.14";"4";"18";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"3351.5452";"None";"C143H230N42O37S7";"C=C(NC(=O)[C@@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H]1CS[C@@H](C)[C@@H]2NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]3CS[C@@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]4CS[C@@H](C)[C@H](NC(=O)[C@@H]5CSC[C@H](NC(=O)/C(=C/C)NC(=O)[C@@H](N)[C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NC(=C)C(=O)N[C@@H](CC(C)C)C(=O)N5)C(=O)N5CCC[C@H]5C(=O)NCC(=O)N4)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N3)[C@H](C)SC[C@H](NC2=O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N1)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)O"
"CHEMBL4281780";"";"";"Unknown";"0";"3331.10";"3";"4";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"3328.5292";"None";"C141H229N41O38S7";"C=C(NC(=O)[C@@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H]1CS[C@@H](C)[C@@H]2NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]3CS[C@@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]4CS[C@@H](C)[C@H](NC(=O)[C@@H]5CSC[C@H](NC(=O)/C(=C/C)NC(=O)[C@@H](N)[C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NC(=C)C(=O)N[C@@H](CC(C)C)C(=O)N5)C(=O)N5CCC[C@H]5C(=O)NCC(=O)N4)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N3)[C@H](C)SC[C@H](NC2=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)O"
"CHEMBL2371951";"";"";"Unknown";"0";"3468.29";"13";"62";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"3465.6245";"None";"C148H240N44O38S7";"C=C(NC(=O)[C@@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H]1CSC(C)[C@@H]2NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)N(CCCCN)C(=O)[C@H](CCCCN)NC(=O)[C@@H](CCSC)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]3CSC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]4CSC(C)[C@H](NC(=O)[C@@H]5CSC[C@H](NC(=O)/C(=C/C)NC(=O)[C@@H](N)[C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)NC(=C)C(=O)N[C@@H](CC(C)C)C(=O)N5)C(=O)N5CCC[C@H]5C(=O)NCC(=O)N4)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCSC)C(=O)NCC(=O)N3)C(C)SC[C@H](NC2=O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N1)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)O"
